名称,经度,纬度,高度,创建时间,注解,类型
TrackPt00001,113 18'50.06"E,23 7'18.82"N,1.9,2019.9.17 10:04:03,,默认图标模式
TrackPt00002,113 18'50.09"E,23 7'18.78"N,3.4,2019.9.17 10:04:36,,默认图标模式
TrackPt00003,113 18'50.13"E,23 7'18.79"N,3.6,2019.9.17 10:04:49,,默认图标模式
TrackPt00004,113 18'50.16"E,23 7'18.63"N,4.7,2019.9.17 10:04:54,,默认图标模式
TrackPt00005,113 18'50.09"E,23 7'18.40"N,3.7,2019.9.17 10:05:01,,默认图标模式
TrackPt00006,113 18'50.07"E,23 7'18.31"N,6.7,2019.9.17 10:05:07,,默认图标模式
TrackPt00007,113 18'50.05"E,23 7'18.20"N,13.8,2019.9.17 10:05:29,,默认图标模式
TrackPt00008,113 18'50.18"E,23 7'17.89"N,14.5,2019.9.17 10:05:51,,默认图标模式
TrackPt00009,113 18'50.15"E,23 7'17.85"N,27.5,2019.9.17 10:06:12,,默认图标模式
TrackPt00010,113 18'50.26"E,23 7'18.20"N,55.5,2019.9.17 10:06:42,,默认图标模式
TrackPt00011,113 18'50.29"E,23 7'18.53"N,70.1,2019.9.17 10:07:02,,默认图标模式
TrackPt00012,113 18'49.93"E,23 7'18.52"N,98.4,2019.9.17 10:07:24,,默认图标模式
TrackPt00013,113 18'49.86"E,23 7'18.56"N,106.5,2019.9.17 10:07:37,,默认图标模式
TrackPt00014,113 18'49.63"E,23 7'18.56"N,110.6,2019.9.17 10:08:03,,默认图标模式
TrackPt00015,113 18'49.48"E,23 7'18.49"N,95.4,2019.9.17 10:08:27,,默认图标模式
TrackPt00016,113 18'49.55"E,23 7'18.55"N,95.1,2019.9.17 10:08:35,,默认图标模式
TrackPt00017,113 18'49.58"E,23 7'18.50"N,98.9,2019.9.17 10:08:57,,默认图标模式
TrackPt00018,113 18'49.79"E,23 7'18.39"N,71.4,2019.9.17 10:09:40,,默认图标模式
TrackPt00019,113 18'49.82"E,23 7'18.44"N,83.2,2019.9.17 10:10:54,,默认图标模式
TrackPt00020,113 18'49.58"E,23 7'18.32"N,79.2,2019.9.17 10:10:57,,默认图标模式
TrackPt00021,113 18'49.41"E,23 7'18.39"N,70,2019.9.17 10:11:00,,默认图标模式
TrackPt00022,113 18'49.08"E,23 7'18.53"N,66.3,2019.9.17 10:11:03,,默认图标模式
TrackPt00023,113 18'48.62"E,23 7'18.60"N,63.6,2019.9.17 10:11:08,,默认图标模式
TrackPt00024,113 18'48.49"E,23 7'18.67"N,60.6,2019.9.17 10:11:14,,默认图标模式
TrackPt00025,113 18'48.60"E,23 7'18.52"N,58,2019.9.17 10:11:19,,默认图标模式
TrackPt00026,113 18'48.85"E,23 7'18.52"N,56.5,2019.9.17 10:11:22,,默认图标模式
TrackPt00027,113 18'49.34"E,23 7'18.48"N,54.4,2019.9.17 10:11:25,,默认图标模式
TrackPt00028,113 18'49.95"E,23 7'18.40"N,53.5,2019.9.17 10:11:28,,默认图标模式
TrackPt00029,113 18'50.71"E,23 7'18.43"N,50.1,2019.9.17 10:11:31,,默认图标模式
TrackPt00030,113 18'51.61"E,23 7'18.45"N,48.8,2019.9.17 10:11:34,,默认图标模式
TrackPt00031,113 18'51.90"E,23 7'18.45"N,48.9,2019.9.17 10:11:35,,默认图标模式
TrackPt00032,113 18'52.19"E,23 7'18.45"N,48.3,2019.9.17 10:11:36,,默认图标模式
TrackPt00033,113 18'52.53"E,23 7'18.47"N,46.7,2019.9.17 10:11:37,,默认图标模式
TrackPt00034,113 18'52.88"E,23 7'18.50"N,45.2,2019.9.17 10:11:38,,默认图标模式
TrackPt00035,113 18'53.24"E,23 7'18.52"N,44.7,2019.9.17 10:11:39,,默认图标模式
TrackPt00036,113 18'53.58"E,23 7'18.52"N,44.1,2019.9.17 10:11:40,,默认图标模式
TrackPt00037,113 18'54.40"E,23 7'18.50"N,44.3,2019.9.17 10:11:43,,默认图标模式
TrackPt00038,113 18'54.92"E,23 7'18.45"N,41.6,2019.9.17 10:11:46,,默认图标模式
TrackPt00039,113 18'55.35"E,23 7'18.64"N,40.8,2019.9.17 10:11:50,,默认图标模式
TrackPt00040,113 18'55.50"E,23 7'18.82"N,29.8,2019.9.17 10:12:16,,默认图标模式
TrackPt00041,113 18'55.85"E,23 7'18.80"N,28.8,2019.9.17 10:12:19,,默认图标模式
TrackPt00042,113 18'56.49"E,23 7'18.79"N,28.1,2019.9.17 10:12:22,,默认图标模式
TrackPt00043,113 18'57.17"E,23 7'18.76"N,26.7,2019.9.17 10:12:25,,默认图标模式
TrackPt00044,113 18'57.70"E,23 7'18.73"N,26.4,2019.9.17 10:12:27,,默认图标模式
TrackPt00045,113 18'58.02"E,23 7'18.71"N,25.6,2019.9.17 10:12:28,,默认图标模式
TrackPt00046,113 18'58.36"E,23 7'18.69"N,24.1,2019.9.17 10:12:29,,默认图标模式
TrackPt00047,113 18'58.70"E,23 7'18.66"N,23.1,2019.9.17 10:12:30,,默认图标模式
TrackPt00048,113 18'59.07"E,23 7'18.63"N,22.5,2019.9.17 10:12:31,,默认图标模式
TrackPt00049,113 18'59.45"E,23 7'18.60"N,21.9,2019.9.17 10:12:32,,默认图标模式
TrackPt00050,113 18'59.83"E,23 7'18.57"N,21.1,2019.9.17 10:12:33,,默认图标模式
TrackPt00051,113 19'0.23"E,23 7'18.54"N,20.2,2019.9.17 10:12:34,,默认图标模式
TrackPt00052,113 19'0.64"E,23 7'18.51"N,19.5,2019.9.17 10:12:35,,默认图标模式
TrackPt00053,113 19'0.99"E,23 7'18.37"N,18.6,2019.9.17 10:12:36,,默认图标模式
TrackPt00054,113 19'1.38"E,23 7'18.28"N,18.2,2019.9.17 10:12:37,,默认图标模式
TrackPt00055,113 19'1.81"E,23 7'18.24"N,16.9,2019.9.17 10:12:38,,默认图标模式
TrackPt00056,113 19'2.25"E,23 7'18.20"N,15.9,2019.9.17 10:12:39,,默认图标模式
TrackPt00057,113 19'2.69"E,23 7'18.15"N,15.1,2019.9.17 10:12:40,,默认图标模式
TrackPt00058,113 19'3.13"E,23 7'18.10"N,14.5,2019.9.17 10:12:41,,默认图标模式
TrackPt00059,113 19'3.55"E,23 7'18.07"N,14.3,2019.9.17 10:12:42,,默认图标模式
TrackPt00060,113 19'3.99"E,23 7'18.03"N,14.1,2019.9.17 10:12:43,,默认图标模式
TrackPt00061,113 19'4.40"E,23 7'18.00"N,14,2019.9.17 10:12:44,,默认图标模式
TrackPt00062,113 19'15.80"E,23 7'19.36"N,13.9,2019.9.17 10:13:07,,默认图标模式
TrackPt00063,113 19'16.18"E,23 7'18.51"N,25.3,2019.9.17 10:13:08,,默认图标模式
TrackPt00064,113 19'16.61"E,23 7'18.24"N,26.7,2019.9.17 10:13:09,,默认图标模式
TrackPt00065,113 19'16.97"E,23 7'18.08"N,27.6,2019.9.17 10:13:10,,默认图标模式
TrackPt00066,113 19'17.33"E,23 7'17.91"N,29.6,2019.9.17 10:13:11,,默认图标模式
TrackPt00067,113 19'17.63"E,23 7'17.58"N,29.6,2019.9.17 10:13:12,,默认图标模式
TrackPt00068,113 19'17.93"E,23 7'17.47"N,29.1,2019.9.17 10:13:13,,默认图标模式
TrackPt00069,113 19'18.32"E,23 7'17.50"N,29.9,2019.9.17 10:13:14,,默认图标模式
TrackPt00070,113 19'18.69"E,23 7'17.55"N,30.7,2019.9.17 10:13:15,,默认图标模式
TrackPt00071,113 19'19.11"E,23 7'17.58"N,30.1,2019.9.17 10:13:16,,默认图标模式
TrackPt00072,113 19'19.49"E,23 7'17.59"N,27,2019.9.17 10:13:17,,默认图标模式
TrackPt00073,113 19'19.83"E,23 7'17.58"N,25.2,2019.9.17 10:13:18,,默认图标模式
TrackPt00074,113 19'20.15"E,23 7'17.52"N,24.1,2019.9.17 10:13:19,,默认图标模式
TrackPt00075,113 19'20.94"E,23 7'17.22"N,20.4,2019.9.17 10:13:22,,默认图标模式
TrackPt00076,113 19'21.67"E,23 7'17.03"N,19.8,2019.9.17 10:13:25,,默认图标模式
TrackPt00077,113 19'22.43"E,23 7'16.88"N,20.2,2019.9.17 10:13:28,,默认图标模式
TrackPt00078,113 19'23.17"E,23 7'16.81"N,21,2019.9.17 10:13:31,,默认图标模式
TrackPt00079,113 19'23.81"E,23 7'16.79"N,20.1,2019.9.17 10:13:34,,默认图标模式
TrackPt00080,113 19'24.53"E,23 7'16.76"N,20.2,2019.9.17 10:13:37,,默认图标模式
TrackPt00081,113 19'25.10"E,23 7'16.60"N,18.4,2019.9.17 10:13:40,,默认图标模式
TrackPt00082,113 19'25.65"E,23 7'16.62"N,17,2019.9.17 10:13:43,,默认图标模式
TrackPt00083,113 19'26.02"E,23 7'16.56"N,15.7,2019.9.17 10:13:46,,默认图标模式
TrackPt00084,113 19'26.40"E,23 7'16.49"N,14.3,2019.9.17 10:13:51,,默认图标模式
TrackPt00085,113 19'26.51"E,23 7'16.32"N,12.7,2019.9.17 10:14:00,,默认图标模式
TrackPt00086,113 19'26.70"E,23 7'16.26"N,13.4,2019.9.17 10:14:06,,默认图标模式
TrackPt00087,113 19'26.83"E,23 7'16.24"N,13.6,2019.9.17 10:14:11,,默认图标模式
TrackPt00088,113 19'26.94"E,23 7'16.29"N,16.3,2019.9.17 10:14:26,,默认图标模式
TrackPt00089,113 19'27.25"E,23 7'16.30"N,16.9,2019.9.17 10:14:30,,默认图标模式
TrackPt00090,113 19'27.75"E,23 7'16.24"N,17.3,2019.9.17 10:14:33,,默认图标模式
TrackPt00091,113 19'28.28"E,23 7'16.14"N,19.4,2019.9.17 10:14:36,,默认图标模式
TrackPt00092,113 19'28.85"E,23 7'16.05"N,21,2019.9.17 10:14:39,,默认图标模式
TrackPt00093,113 19'29.43"E,23 7'16.00"N,22.2,2019.9.17 10:14:42,,默认图标模式
TrackPt00094,113 19'30.19"E,23 7'15.94"N,22,2019.9.17 10:14:45,,默认图标模式
TrackPt00095,113 19'31.03"E,23 7'15.89"N,23.3,2019.9.17 10:14:48,,默认图标模式
TrackPt00096,113 19'31.77"E,23 7'15.84"N,22.1,2019.9.17 10:14:51,,默认图标模式
TrackPt00097,113 19'32.43"E,23 7'15.79"N,21.4,2019.9.17 10:14:54,,默认图标模式
TrackPt00098,113 19'32.98"E,23 7'15.75"N,21,2019.9.17 10:14:57,,默认图标模式
TrackPt00099,113 19'33.36"E,23 7'15.74"N,19.1,2019.9.17 10:15:02,,默认图标模式
TrackPt00100,113 19'33.43"E,23 7'15.74"N,18,2019.9.17 10:15:08,,默认图标模式
TrackPt00101,113 19'33.75"E,23 7'15.66"N,18.5,2019.9.17 10:15:13,,默认图标模式
TrackPt00102,113 19'34.15"E,23 7'15.60"N,18.9,2019.9.17 10:15:16,,默认图标模式
TrackPt00103,113 19'34.47"E,23 7'15.56"N,16.3,2019.9.17 10:15:19,,默认图标模式
TrackPt00104,113 19'34.58"E,23 7'15.55"N,13.5,2019.9.17 10:15:24,,默认图标模式
TrackPt00105,113 19'34.67"E,23 7'15.55"N,11,2019.9.17 10:15:32,,默认图标模式
TrackPt00106,113 19'34.97"E,23 7'15.55"N,9.5,2019.9.17 10:15:38,,默认图标模式
TrackPt00107,113 19'35.54"E,23 7'15.51"N,9.4,2019.9.17 10:15:41,,默认图标模式
TrackPt00108,113 19'36.55"E,23 7'15.31"N,10.2,2019.9.17 10:15:46,,默认图标模式
TrackPt00109,113 19'37.14"E,23 7'15.20"N,9.7,2019.9.17 10:15:49,,默认图标模式
TrackPt00110,113 19'37.71"E,23 7'15.11"N,8.8,2019.9.17 10:15:52,,默认图标模式
TrackPt00111,113 19'38.35"E,23 7'15.04"N,8.4,2019.9.17 10:15:55,,默认图标模式
TrackPt00112,113 19'38.93"E,23 7'14.97"N,8.3,2019.9.17 10:15:58,,默认图标模式
TrackPt00113,113 19'39.35"E,23 7'14.90"N,7.5,2019.9.17 10:16:01,,默认图标模式
TrackPt00114,113 19'39.71"E,23 7'14.76"N,6.8,2019.9.17 10:16:06,,默认图标模式
TrackPt00115,113 19'39.98"E,23 7'14.60"N,7.1,2019.9.17 10:16:09,,默认图标模式
TrackPt00116,113 19'40.27"E,23 7'14.33"N,7.5,2019.9.17 10:16:12,,默认图标模式
TrackPt00117,113 19'40.58"E,23 7'13.96"N,7.6,2019.9.17 10:16:15,,默认图标模式
TrackPt00118,113 19'40.76"E,23 7'13.59"N,7.5,2019.9.17 10:16:18,,默认图标模式
TrackPt00119,113 19'40.86"E,23 7'13.23"N,6.9,2019.9.17 10:16:21,,默认图标模式
TrackPt00120,113 19'40.94"E,23 7'12.82"N,6.4,2019.9.17 10:16:24,,默认图标模式
TrackPt00121,113 19'41.00"E,23 7'12.22"N,5.7,2019.9.17 10:16:27,,默认图标模式
TrackPt00122,113 19'41.03"E,23 7'11.43"N,5,2019.9.17 10:16:30,,默认图标模式
TrackPt00123,113 19'41.04"E,23 7'10.62"N,4.5,2019.9.17 10:16:33,,默认图标模式
TrackPt00124,113 19'41.04"E,23 7'9.85"N,4,2019.9.17 10:16:36,,默认图标模式
TrackPt00125,113 19'41.07"E,23 7'9.12"N,3.9,2019.9.17 10:16:39,,默认图标模式
TrackPt00126,113 19'41.20"E,23 7'8.35"N,3.3,2019.9.17 10:16:42,,默认图标模式
TrackPt00127,113 19'41.25"E,23 7'8.07"N,3,2019.9.17 10:16:43,,默认图标模式
TrackPt00128,113 19'41.30"E,23 7'7.79"N,3,2019.9.17 10:16:44,,默认图标模式
TrackPt00129,113 19'41.34"E,23 7'7.52"N,3.2,2019.9.17 10:16:45,,默认图标模式
TrackPt00130,113 19'41.45"E,23 7'6.74"N,3.2,2019.9.17 10:16:48,,默认图标模式
TrackPt00131,113 19'41.49"E,23 7'6.47"N,3.1,2019.9.17 10:16:49,,默认图标模式
TrackPt00132,113 19'41.52"E,23 7'6.20"N,3,2019.9.17 10:16:50,,默认图标模式
TrackPt00133,113 19'41.55"E,23 7'5.91"N,3.1,2019.9.17 10:16:51,,默认图标模式
TrackPt00134,113 19'41.57"E,23 7'5.61"N,3,2019.9.17 10:16:52,,默认图标模式
TrackPt00135,113 19'41.58"E,23 7'5.31"N,2.9,2019.9.17 10:16:53,,默认图标模式
TrackPt00136,113 19'41.60"E,23 7'5.01"N,2.6,2019.9.17 10:16:54,,默认图标模式
TrackPt00137,113 19'41.61"E,23 7'4.69"N,2.5,2019.9.17 10:16:55,,默认图标模式
TrackPt00138,113 19'41.62"E,23 7'4.37"N,2.5,2019.9.17 10:16:56,,默认图标模式
TrackPt00139,113 19'41.63"E,23 7'4.03"N,2.3,2019.9.17 10:16:57,,默认图标模式
TrackPt00140,113 19'41.63"E,23 7'3.67"N,2.1,2019.9.17 10:16:58,,默认图标模式
TrackPt00141,113 19'41.64"E,23 7'3.29"N,1.8,2019.9.17 10:16:59,,默认图标模式
TrackPt00142,113 19'41.65"E,23 7'2.90"N,1.6,2019.9.17 10:17:00,,默认图标模式
TrackPt00143,113 19'41.65"E,23 7'2.48"N,1.1,2019.9.17 10:17:01,,默认图标模式
TrackPt00144,113 19'41.66"E,23 7'2.05"N,0.8,2019.9.17 10:17:02,,默认图标模式
TrackPt00145,113 19'41.68"E,23 7'1.61"N,0.7,2019.9.17 10:17:03,,默认图标模式
TrackPt00146,113 19'41.69"E,23 7'1.16"N,0.7,2019.9.17 10:17:04,,默认图标模式
TrackPt00147,113 19'41.70"E,23 7'0.71"N,1.1,2019.9.17 10:17:05,,默认图标模式
TrackPt00148,113 19'41.72"E,23 7'0.25"N,1.1,2019.9.17 10:17:06,,默认图标模式
TrackPt00149,113 19'41.74"E,23 6'59.80"N,1.3,2019.9.17 10:17:07,,默认图标模式
TrackPt00150,113 19'41.76"E,23 6'59.37"N,1.5,2019.9.17 10:17:08,,默认图标模式
TrackPt00151,113 19'41.78"E,23 6'58.94"N,1.9,2019.9.17 10:17:09,,默认图标模式
TrackPt00152,113 19'41.80"E,23 6'58.53"N,2.3,2019.9.17 10:17:10,,默认图标模式
TrackPt00153,113 19'41.82"E,23 6'58.12"N,2.8,2019.9.17 10:17:11,,默认图标模式
TrackPt00154,113 19'41.84"E,23 6'57.71"N,3.6,2019.9.17 10:17:12,,默认图标模式
TrackPt00155,113 19'41.86"E,23 6'57.31"N,3.6,2019.9.17 10:17:13,,默认图标模式
TrackPt00156,113 19'41.88"E,23 6'56.90"N,4,2019.9.17 10:17:14,,默认图标模式
TrackPt00157,113 19'41.90"E,23 6'56.50"N,4.6,2019.9.17 10:17:15,,默认图标模式
TrackPt00158,113 19'41.92"E,23 6'56.09"N,5.2,2019.9.17 10:17:16,,默认图标模式
TrackPt00159,113 19'41.93"E,23 6'55.67"N,6.8,2019.9.17 10:17:17,,默认图标模式
TrackPt00160,113 19'41.95"E,23 6'55.25"N,6.8,2019.9.17 10:17:18,,默认图标模式
TrackPt00161,113 19'41.97"E,23 6'54.82"N,7.6,2019.9.17 10:17:19,,默认图标模式
TrackPt00162,113 19'41.98"E,23 6'54.40"N,8.3,2019.9.17 10:17:20,,默认图标模式
TrackPt00163,113 19'42.00"E,23 6'53.97"N,9,2019.9.17 10:17:21,,默认图标模式
TrackPt00164,113 19'42.01"E,23 6'53.54"N,10.9,2019.9.17 10:17:22,,默认图标模式
TrackPt00165,113 19'42.04"E,23 6'53.11"N,10.9,2019.9.17 10:17:23,,默认图标模式
TrackPt00166,113 19'42.06"E,23 6'52.69"N,11.4,2019.9.17 10:17:24,,默认图标模式
TrackPt00167,113 19'42.08"E,23 6'52.26"N,12.1,2019.9.17 10:17:25,,默认图标模式
TrackPt00168,113 19'42.10"E,23 6'51.83"N,12.8,2019.9.17 10:17:26,,默认图标模式
TrackPt00169,113 19'42.12"E,23 6'51.39"N,13.4,2019.9.17 10:17:27,,默认图标模式
TrackPt00170,113 19'42.14"E,23 6'50.95"N,13.9,2019.9.17 10:17:28,,默认图标模式
TrackPt00171,113 19'42.16"E,23 6'50.51"N,14.7,2019.9.17 10:17:29,,默认图标模式
