Grid	Lat/Lon hddd¡ãmm'ss.s"
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	19-09-17 10.53.46	2019/9/17 10:04:03 	0:48:15	15.0 km	0.0 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course						

Trackpoint	N23 7 18.8 E113 18 50.1	2019/9/17 10:04:03 	2 m			
Trackpoint	N23 7 18.8 E113 18 50.1	2019/9/17 10:04:36 	3 m			2 m	0:00:33		
Trackpoint	N23 7 18.8 E113 18 50.1	2019/9/17 10:04:49 	4 m			1 m	0:00:13		
Trackpoint	N23 7 18.6 E113 18 50.2	2019/9/17 10:04:54 	5 m			5 m	0:00:05		
Trackpoint	N23 7 18.4 E113 18 50.1	2019/9/17 10:05:01 	4 m			8 m	0:00:07		
Trackpoint	N23 7 18.3 E113 18 50.1	2019/9/17 10:05:07 	7 m			3 m	0:00:06		
Trackpoint	N23 7 18.2 E113 18 50.0	2019/9/17 10:05:29 	14 m			3 m	0:00:22		
Trackpoint	N23 7 17.9 E113 18 50.2	2019/9/17 10:05:51 	15 m			10 m	0:00:22		
Trackpoint	N23 7 17.9 E113 18 50.1	2019/9/17 10:06:12 	28 m			2 m	0:00:21		
Trackpoint	N23 7 18.2 E113 18 50.3	2019/9/17 10:06:42 	56 m			11 m	0:00:30		
Trackpoint	N23 7 18.5 E113 18 50.3	2019/9/17 10:07:02 	70 m			10 m	0:00:20		
Trackpoint	N23 7 18.5 E113 18 49.9	2019/9/17 10:07:24 	98 m			10 m	0:00:22		
Trackpoint	N23 7 18.6 E113 18 49.9	2019/9/17 10:07:37 	107 m			3 m	0:00:13		
Trackpoint	N23 7 18.6 E113 18 49.6	2019/9/17 10:08:03 	111 m			6 m	0:00:26		
Trackpoint	N23 7 18.5 E113 18 49.5	2019/9/17 10:08:27 	95 m			5 m	0:00:24		
Trackpoint	N23 7 18.6 E113 18 49.5	2019/9/17 10:08:35 	95 m			3 m	0:00:08		
Trackpoint	N23 7 18.5 E113 18 49.6	2019/9/17 10:08:57 	99 m			2 m	0:00:22		
Trackpoint	N23 7 18.4 E113 18 49.8	2019/9/17 10:09:40 	71 m			7 m	0:00:43		
Trackpoint	N23 7 18.4 E113 18 49.8	2019/9/17 10:10:54 	83 m			2 m	0:01:14		
Trackpoint	N23 7 18.3 E113 18 49.6	2019/9/17 10:10:57 	79 m			8 m	0:00:03		
Trackpoint	N23 7 18.4 E113 18 49.4	2019/9/17 10:11:00 	70 m			5 m	0:00:03		
Trackpoint	N23 7 18.5 E113 18 49.1	2019/9/17 10:11:03 	66 m			10 m	0:00:03		
Trackpoint	N23 7 18.6 E113 18 48.6	2019/9/17 10:11:08 	64 m			13 m	0:00:05		
Trackpoint	N23 7 18.7 E113 18 48.5	2019/9/17 10:11:14 	61 m			4 m	0:00:06		
Trackpoint	N23 7 18.5 E113 18 48.6	2019/9/17 10:11:19 	58 m			6 m	0:00:05		
Trackpoint	N23 7 18.5 E113 18 48.9	2019/9/17 10:11:22 	57 m			7 m	0:00:03		
Trackpoint	N23 7 18.5 E113 18 49.3	2019/9/17 10:11:25 	54 m			14 m	0:00:03		
Trackpoint	N23 7 18.4 E113 18 50.0	2019/9/17 10:11:28 	54 m			18 m	0:00:03		
Trackpoint	N23 7 18.4 E113 18 50.7	2019/9/17 10:11:31 	50 m			22 m	0:00:03		
Trackpoint	N23 7 18.4 E113 18 51.6	2019/9/17 10:11:34 	49 m			26 m	0:00:03		
Trackpoint	N23 7 18.4 E113 18 51.9	2019/9/17 10:11:35 	49 m			8 m	0:00:01		
Trackpoint	N23 7 18.4 E113 18 52.2	2019/9/17 10:11:36 	48 m			8 m	0:00:01		
Trackpoint	N23 7 18.5 E113 18 52.5	2019/9/17 10:11:37 	47 m			10 m	0:00:01		
Trackpoint	N23 7 18.5 E113 18 52.9	2019/9/17 10:11:38 	45 m			10 m	0:00:01		
Trackpoint	N23 7 18.5 E113 18 53.2	2019/9/17 10:11:39 	45 m			10 m	0:00:01		
Trackpoint	N23 7 18.5 E113 18 53.6	2019/9/17 10:11:40 	44 m			10 m	0:00:01		
Trackpoint	N23 7 18.5 E113 18 54.4	2019/9/17 10:11:43 	44 m			23 m	0:00:03		
Trackpoint	N23 7 18.4 E113 18 54.9	2019/9/17 10:11:46 	42 m			15 m	0:00:03		
Trackpoint	N23 7 18.6 E113 18 55.4	2019/9/17 10:11:50 	41 m			13 m	0:00:04		
Trackpoint	N23 7 18.8 E113 18 55.5	2019/9/17 10:12:16 	30 m			7 m	0:00:26		
Trackpoint	N23 7 18.8 E113 18 55.9	2019/9/17 10:12:19 	29 m			10 m	0:00:03		
Trackpoint	N23 7 18.8 E113 18 56.5	2019/9/17 10:12:22 	28 m			18 m	0:00:03		
Trackpoint	N23 7 18.8 E113 18 57.2	2019/9/17 10:12:25 	27 m			19 m	0:00:03		
Trackpoint	N23 7 18.7 E113 18 57.7	2019/9/17 10:12:27 	26 m			15 m	0:00:02		
Trackpoint	N23 7 18.7 E113 18 58.0	2019/9/17 10:12:28 	26 m			9 m	0:00:01		
Trackpoint	N23 7 18.7 E113 18 58.4	2019/9/17 10:12:29 	24 m			10 m	0:00:01		
Trackpoint	N23 7 18.7 E113 18 58.7	2019/9/17 10:12:30 	23 m			10 m	0:00:01		
Trackpoint	N23 7 18.6 E113 18 59.1	2019/9/17 10:12:31 	23 m			10 m	0:00:01		
Trackpoint	N23 7 18.6 E113 18 59.5	2019/9/17 10:12:32 	22 m			11 m	0:00:01		
Trackpoint	N23 7 18.6 E113 18 59.8	2019/9/17 10:12:33 	21 m			11 m	0:00:01		
Trackpoint	N23 7 18.5 E113 19 00.2	2019/9/17 10:12:34 	20 m			11 m	0:00:01		
Trackpoint	N23 7 18.5 E113 19 00.6	2019/9/17 10:12:35 	20 m			12 m	0:00:01		
Trackpoint	N23 7 18.4 E113 19 01.0	2019/9/17 10:12:36 	19 m			11 m	0:00:01		
Trackpoint	N23 7 18.3 E113 19 01.4	2019/9/17 10:12:37 	18 m			11 m	0:00:01		
Trackpoint	N23 7 18.2 E113 19 01.8	2019/9/17 10:12:38 	17 m			12 m	0:00:01		
Trackpoint	N23 7 18.2 E113 19 02.3	2019/9/17 10:12:39 	16 m			13 m	0:00:01		
Trackpoint	N23 7 18.1 E113 19 02.7	2019/9/17 10:12:40 	15 m			12 m	0:00:01		
Trackpoint	N23 7 18.1 E113 19 03.1	2019/9/17 10:12:41 	15 m			13 m	0:00:01		
Trackpoint	N23 7 18.1 E113 19 03.5	2019/9/17 10:12:42 	14 m			12 m	0:00:01		
Trackpoint	N23 7 18.0 E113 19 04.0	2019/9/17 10:12:43 	14 m			12 m	0:00:01		
Trackpoint	N23 7 18.0 E113 19 04.4	2019/9/17 10:12:44 	14 m			12 m	0:00:01		
Trackpoint	N23 7 19.4 E113 19 15.8	2019/9/17 10:13:07 	14 m			327 m	0:00:23		
Trackpoint	N23 7 18.5 E113 19 16.2	2019/9/17 10:13:08 	25 m			29 m	0:00:01		
Trackpoint	N23 7 18.2 E113 19 16.6	2019/9/17 10:13:09 	27 m			15 m	0:00:01		
Trackpoint	N23 7 18.1 E113 19 17.0	2019/9/17 10:13:10 	28 m			11 m	0:00:01		
Trackpoint	N23 7 17.9 E113 19 17.3	2019/9/17 10:13:11 	30 m			11 m	0:00:01		
Trackpoint	N23 7 17.6 E113 19 17.6	2019/9/17 10:13:12 	30 m			13 m	0:00:01		
Trackpoint	N23 7 17.5 E113 19 17.9	2019/9/17 10:13:13 	29 m			9 m	0:00:01		
Trackpoint	N23 7 17.5 E113 19 18.3	2019/9/17 10:13:14 	30 m			11 m	0:00:01		
Trackpoint	N23 7 17.6 E113 19 18.7	2019/9/17 10:13:15 	31 m			11 m	0:00:01		
Trackpoint	N23 7 17.6 E113 19 19.1	2019/9/17 10:13:16 	30 m			12 m	0:00:01		
Trackpoint	N23 7 17.6 E113 19 19.5	2019/9/17 10:13:17 	27 m			11 m	0:00:01		
Trackpoint	N23 7 17.6 E113 19 19.8	2019/9/17 10:13:18 	25 m			10 m	0:00:01		
Trackpoint	N23 7 17.5 E113 19 20.1	2019/9/17 10:13:19 	24 m			9 m	0:00:01		
Trackpoint	N23 7 17.2 E113 19 20.9	2019/9/17 10:13:22 	20 m			24 m	0:00:03		
Trackpoint	N23 7 17.0 E113 19 21.7	2019/9/17 10:13:25 	20 m			21 m	0:00:03		
Trackpoint	N23 7 16.9 E113 19 22.4	2019/9/17 10:13:28 	20 m			22 m	0:00:03		
Trackpoint	N23 7 16.8 E113 19 23.2	2019/9/17 10:13:31 	21 m			21 m	0:00:03		
Trackpoint	N23 7 16.8 E113 19 23.8	2019/9/17 10:13:34 	20 m			18 m	0:00:03		
Trackpoint	N23 7 16.8 E113 19 24.5	2019/9/17 10:13:37 	20 m			21 m	0:00:03		
Trackpoint	N23 7 16.6 E113 19 25.1	2019/9/17 10:13:40 	18 m			17 m	0:00:03		
Trackpoint	N23 7 16.6 E113 19 25.6	2019/9/17 10:13:43 	17 m			15 m	0:00:03		
Trackpoint	N23 7 16.6 E113 19 26.0	2019/9/17 10:13:46 	16 m			11 m	0:00:03		
Trackpoint	N23 7 16.5 E113 19 26.4	2019/9/17 10:13:51 	14 m			11 m	0:00:05		
Trackpoint	N23 7 16.3 E113 19 26.5	2019/9/17 10:14:00 	13 m			6 m	0:00:09		
Trackpoint	N23 7 16.3 E113 19 26.7	2019/9/17 10:14:06 	13 m			6 m	0:00:06		
Trackpoint	N23 7 16.2 E113 19 26.8	2019/9/17 10:14:11 	14 m			4 m	0:00:05		
Trackpoint	N23 7 16.3 E113 19 26.9	2019/9/17 10:14:26 	16 m			4 m	0:00:15		
Trackpoint	N23 7 16.3 E113 19 27.3	2019/9/17 10:14:30 	17 m			9 m	0:00:04		
Trackpoint	N23 7 16.2 E113 19 27.8	2019/9/17 10:14:33 	17 m			14 m	0:00:03		
Trackpoint	N23 7 16.1 E113 19 28.3	2019/9/17 10:14:36 	19 m			15 m	0:00:03		
Trackpoint	N23 7 16.1 E113 19 28.9	2019/9/17 10:14:39 	21 m			16 m	0:00:03		
Trackpoint	N23 7 16.0 E113 19 29.4	2019/9/17 10:14:42 	22 m			17 m	0:00:03		
Trackpoint	N23 7 15.9 E113 19 30.2	2019/9/17 10:14:45 	22 m			22 m	0:00:03		
Trackpoint	N23 7 15.9 E113 19 31.0	2019/9/17 10:14:48 	23 m			24 m	0:00:03		
Trackpoint	N23 7 15.8 E113 19 31.8	2019/9/17 10:14:51 	22 m			21 m	0:00:03		
Trackpoint	N23 7 15.8 E113 19 32.4	2019/9/17 10:14:54 	21 m			19 m	0:00:03		
Trackpoint	N23 7 15.8 E113 19 33.0	2019/9/17 10:14:57 	21 m			15 m	0:00:03		
Trackpoint	N23 7 15.7 E113 19 33.4	2019/9/17 10:15:02 	19 m			11 m	0:00:05		
Trackpoint	N23 7 15.7 E113 19 33.4	2019/9/17 10:15:08 	18 m			2 m	0:00:06		
Trackpoint	N23 7 15.7 E113 19 33.8	2019/9/17 10:15:13 	19 m			9 m	0:00:05		
Trackpoint	N23 7 15.6 E113 19 34.1	2019/9/17 10:15:16 	19 m			11 m	0:00:03		
Trackpoint	N23 7 15.6 E113 19 34.5	2019/9/17 10:15:19 	16 m			9 m	0:00:03		
Trackpoint	N23 7 15.6 E113 19 34.6	2019/9/17 10:15:24 	14 m			3 m	0:00:05		
Trackpoint	N23 7 15.6 E113 19 34.7	2019/9/17 10:15:32 	11 m			2 m	0:00:08		
Trackpoint	N23 7 15.6 E113 19 35.0	2019/9/17 10:15:38 	10 m			9 m	0:00:06		
Trackpoint	N23 7 15.5 E113 19 35.5	2019/9/17 10:15:41 	9 m			16 m	0:00:03		
Trackpoint	N23 7 15.3 E113 19 36.5	2019/9/17 10:15:46 	10 m			30 m	0:00:05		
Trackpoint	N23 7 15.2 E113 19 37.1	2019/9/17 10:15:49 	10 m			17 m	0:00:03		
Trackpoint	N23 7 15.1 E113 19 37.7	2019/9/17 10:15:52 	9 m			17 m	0:00:03		
Trackpoint	N23 7 15.0 E113 19 38.4	2019/9/17 10:15:55 	8 m			18 m	0:00:03		
Trackpoint	N23 7 15.0 E113 19 38.9	2019/9/17 10:15:58 	8 m			16 m	0:00:03		
Trackpoint	N23 7 14.9 E113 19 39.4	2019/9/17 10:16:01 	8 m			12 m	0:00:03		
Trackpoint	N23 7 14.8 E113 19 39.7	2019/9/17 10:16:06 	7 m			11 m	0:00:05		
Trackpoint	N23 7 14.6 E113 19 40.0	2019/9/17 10:16:09 	7 m			9 m	0:00:03		
